Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Sr AI/ML Engineer,-1,"OptumAI is looking for a Senior Machine Learning Engineer with deep subject matter expertise in text processing, NLU and SLU (Natural language understanding and Spoken Language Understanding) who will be part of a team leading the technical development and inventions that allow Optum machine learning products drive positive impact in the healthcare business.
Your expertise will bring business and industry context to science and technology decisions. As part of the OptumAI AI/ML engineering group, you set the standard for scientific excellence and make decisions that affect the way we build and integrate algorithms. Your code, designs and documents are exemplary and are used as references across the organization.
A successful candidate is a hands-on AI/ML engineering expert that will tackle intrinsically hard problems, acquiring expertise as needed. The candidate will help decompose complex problems into straightforward solutions.
Primary Responsibilities:
Help design and develop the next generation of NLP, ML & AI products, and services for healthcare
Develop machine learning and deep learning models and systems in domains including, but not limited to: NLP, NLU, NLG, SLU and multidimensional time series forecasting among others
Ability to Quantize, Optimize GenAI models
Manage NLP & ML models lifecycle for a suite of products
Run large complex proof-of-concepts for the healthcare business
Manage prioritization and technology work for building NLP, ML & AI solutions
Lead the full end-to-end machine learning development process including data ingestion and preparation, feature engineering, analysis and modeling, model deployment, performance tracking and documentation
Establish best practices for end-to-end deep learning and machine learning development cycle to ensure rigor in process and quality in outcome
Work with a great deal of autonomy to find solutions to complex problems
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
Master’s in computer science, Statistics, Electrical Engineering, or another quantitative field
7+ years of industry/academic experience in data science, machine learning or a related field
5+ years of experience with Machine Learning and Deep Learning modeling
3+ years of experience with Deep Learning Frameworks and Distributed training
2+ years of experience applying computational algorithms and statistical methods to both structured and unstructured data.
1+ years of experience in GenAI models
Exposure in RAG, LangChain, VectorDBs
Proven excellent communication, writing and presentation skills
Preferred Qualifications:
MTech/PhD in Computer Science, Statistics, Electrical Engineering, or another quantitative field
Experience in the health care industry
Mentors and trains scientists on complex technical issues
Significant experience in deploying scalable solutions to complex problems, from defining the problem, implementing the solution, and launching the new product successfully
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Job Type: Full-time
Application Question(s):
Do you have experience in Public Cloud ?
Have you completed atleast 1 project in Gen AI?
Please mention your current CTC.
Please mention your expected CTC.
Please share your NP.
Please mention your preferred location.
Experience:
Generative AI: 5 years (Required)
Python , Deep Learning and Machine Learning ?: 5 years (Required)",-1,Optum,Haryāna,-1,-1,-1,-1,-1,-1
Data Scientist Intern,-1,"May 28, 2024
Job role: Data Scientist Intern
Internship type: Full Time, Work from office
Internship Duration: 6 months
Stipend: 20,000 INR
Work Location: Hyderabad
About the Internship:
We are seeking a highly motivated Data Scientist Intern to join our team for a 6 months internship program. As a Data Scientist Intern, you will work closely with our data science team to analyze large datasets, develop predictive models, and extract actionable insights that contribute to our business objectives.",-1,SoulPage IT Solutions,Hyderābād,1 to 50 Employees,2018,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Junior Data Scientist,₹5L,"About the Role:
We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data,
and help us make smarter decisions that brings in good business value.
Your primary focus will be in applying Data Mining techniques, doing Statistical Analysis, building Statistical /
ML models and support Analytic Implementations in production systems / processes.
Responsibilities:
Collect and analyze large sets of structured and unstructured data
Develop predictive models and algorithms to support business decisions - Selecting/engineering features,",-1,Saaki Argus & Averil Consulting,Chennai,51 to 200 Employees,1998,Private Practice / Firm,HR Consulting,Human resources and staffing,Unknown / Non-Applicable
Data Scientist,₹12L,"we are hiring data scientist role with minimum3 years experince any one intrested please let me know
Job Types: Full-time, Permanent
Benefits:
Health insurance
Provident Fund
Schedule:
Monday to Friday
Night shift",-1,Accusaga,India,-1,-1,-1,-1,-1,-1
Data Scientist,₹6L,"Role Overview:
The Data Scientist will be responsible for leveraging advanced analytical techniques and data science methodologies to drive data-driven insights and solutions. This role requires a blend of technical expertise in data science, project planning, and collaboration with cross-functional teams to ensure the successful delivery of data projects. The ideal candidate will have hands-on experience with data engineering, AWS, and the ability to translate complex data into actionable insights. Effective stakeholder management and a strong track record in leading data-centric projects are essential for success in this role.

Job Responsibilities:",-1,Exponentia.ai,Bengaluru,201 to 500 Employees,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,₹18L,"Lookig Data Scientist .Its work from Home.
Salary-open for the right candidate
Data Scientist:
4 -6 years of Relevant Data Science Experience, with demonstrated proficiency and hands-on experience navigating data science complexities.
Good communication skills, both verbal and written.
Exhibit a fervor for crafting modular, scalable, and bug-free Python code.
Comfortable in SQL with additional proficiency in office tools like Excel & PowerPoint.
Experience in production engineering best practices (e.g. Git versioning, Docker).
Familiarity or experience with working on large data sets and distributed computing (e.g. Hive, Hadoop, Spark).",-1,OrangeSiri India Private Limited,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,₹13L,"Job Title: Data Scientist
Location: Bengaluru
Work Mode: Hybrid
Budget: ₹1.3 LPM
Job Description:
Role Overview:
Affine is seeking two experienced Data Scientists to join our dynamic team. The ideal candidates will possess a robust background in data analysis, statistical modeling, and data visualization. You will leverage your skills in SQL and forecasting techniques to develop predictive models and deliver actionable insights that drive strategic business decisions. This role involves close collaboration with cross-functional teams and stakeholders to analyze complex datasets and enhance data-driven strategies.",-1,Drimlite,Bengaluru,-1,-1,-1,-1,-1,-1
Associate Data Scientist,-1,"About the Role
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
Will be responsible for handling new OSS implementation as well as resolving NBI issues.
Ensuring guidelines for the user administration on 400 EMS/NMS instances.
Will be responsible for the proactive health checkup of all NMS/EMS instances.",-1,Airtel India,India,10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Junior Data Scientist/,₹7L,"candidate should qualify checklist written below:

Ques: Does the candidate has strong knowledge in Data Science/ Machine Learning/ Artificial Intelligence ? Please mention

Ques: Is the candidate willing to work full time as a Data Science program Manager/ Academic and content delivery/ End to End Curriculam delivery and management ?

Ques: Does the candidate has Data Science/ Machine learning content development and academic delivery experience/ Faculty Development programs in any Teaching Institution or E - Learning Companies?


Job Specifications

Exp. 1.0 - 5.0 Year(s)
Annual Fixed CTC Min : 7.0 Lacs Max: 15.0 Lacs
Qualification B.Tech/B.E. , Any Post Graduation
No of openings 3
Additional Doc/Msg",-1,WSD Consultant,Bengaluru,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,₹14L,"Job Brief Summary
Data Science / Machine Learning
Experience- 5 years
Location- WFH
Notice Period- Immediate
Mandate Experience
1) Minimum One year of experience on Time series Forecasting and modelling which includes the following : RNN/ LSTM/ ARIMA/ ARIMAX/ SARIMA/ SARIMAX [Anyone]
2) Minimum 5 yrs of experience on SQL databases
3) Minimum 4 years of experience on data cleansing, blending and feature selection and feature engineering to serve optimized input to different Machine Learning (Linear regression, Logistic regression, decision tree, random forest, naive baiyes) /Deep Learning (ANN, CNN) models",-1,HARMONY ORTHO PHARMA SOLUTIONS LLP,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,₹9L,"Be part of something revolutionary
At o9 Solutions, our mission is clear: be the Most Valuable Platform (MVP) for enterprises. With our AI-driven platform — the o9 Digital Brain — we integrate global enterprises’ siloed planning capabilities, helping them capture millions and, in some cases, billions of dollars in value leakage. But our impact doesn’t stop there. Businesses that plan better and faster also reduce waste, which drives better outcomes for the planet, too.

We're on the lookout for the brightest, most committed individuals to join us on our mission. Along the journey, we’ll provide you with a nurturing environment where you can be part of something truly extraordinary and make a real difference for companies and the planet.

Data Scientist - Forecasting",-1,o9 Solutions,Bengaluru,1001 to 5000 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,₹16L,"Job description
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our overall product and performance. You will help build data products to extract valuable business insights.
Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data",-1,Clowise Business Solutions,Mumbai,-1,-1,-1,-1,-1,-1
Data Scientist - Remote,₹6L,"Company Description

About the Company:
PromptCloud is a Data as a Service company that helps businesses harness the power of data. Our technology fuels some of the most interesting big data projects of the word. We are a small bunch of people working towards shaping the imminent data-driven future by solving some of its fundamental and toughest challenges.
The PromptCloud experience is about striving to become the best version of ourselves holistically, an experience that lasts a lifetime. We tend to have clear growth paths for every role and level in the org so the learning never stops. We believe in a work-life blend, and hence encourage responsible flexibility, which is particularly important in a fully remote setup we have. We trust our people with the impact they can create, and let them choose how they want to do so. We are on a mission to put reliable data at the heart of every business to fuel success and intend to transform the lives we touch (of our customers and our people) while on this journey.",-1,Promptcloud,Bengaluru,51 to 200 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
Junior Data Scientist,-1,"Strong proficiency in programming languages such as Python and R.
Expertise in sentiment analysis, NER, and other natural language processing techniques is a must.
Experience in MLOps, Machine Learning, Statistical Modeling, and Data Visualization.
Excellent leadership, communication, and interpersonal skills.
Number of Openings : 3",-1,Cravita Technologies India,India,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,₹25L,"Job Description
About the Role:
You will work on a broad range of cutting-edge data science and machine learning problems across a variety of industries. You will be engaging with clients to understand their business context. If you are passionate to work on complex unstructured business problems that can be solved using data science
and machine learning we would like to talk to you.
Function: Data Science and Analysis → Data Science / Machine Learning
Desired Skills & Competencies:
Strong learning acume",-1,Aidewiser Soltek,Bengaluru,1 to 50 Employees,2020,Company - Private,HR Consulting,Human resources and staffing,Less than $1 million (USD)
Data Scientist,-1,"About Blackcoffer
Website
Blackcoffer is an enterprise software and analytics consulting firm based in India and the European Union (Malta). It is a data-driven, technology, and decision science firm focused exclusively on big data and analytics, data-driven dashboards, applications development, information management, and consulting of any kind, from any source, on a massive scale. We are a young and global consulting shop helping enterprises and entrepreneurs solve big data and analytics, data-driven dashboards, applications development, and information management problems to minimize risk, explore opportunities for future growth, and increase profits more effectively. We provide intelligence, accelerate innovation, and implement technology with extraordinary breadth and depth of global insights into big data, data-driven dashboards, application development, and information management for organizations by combining unique and specialist services and high-level human expertise.",-1,Blackcoffer (OPC) Pvt. Ltd,Remote,1 to 50 Employees,--,Unknown,--,--,Unknown / Non-Applicable
Data Scientist Associate,-1,"JOB DESCRIPTION

Data Scientist Associate – CIB Payments Data and Analytics
J.P. Morgan’s Corporate & Investment Bank (CIB) is a global leader in Banking. The world’s corporations, governments and institutions entrust us with their business in more than 100 countries. The Corporate & Investment Bank supports our clients around the world providing strategic advice, raising capital and managing risk.
J.P. Morgan Payments is one of the world's largest providers of treasury management and merchant services. Payments sits at the intersection of finance and technology and is one of the largest players (processing $6 trillion of payments a day) in an industry undergoing a major transformation. Merchant Services is the global payment acceptance and merchant acquiring business of JPMorgan Chase & Co. Merchant Services is a leading provider of payment, fraud management and data security solutions, capable of authorizing transactions in more than 130 currencies. The company’s proprietary platforms provide integrated commerce solutions for all major credit and debit card payments as well as mobile payments. Merchant Services has uniquely combined proven payment technology with a long legacy of merchant advocacy that creates quantifiable value for ecommerce companies.








The Corporate & Investment Bank is a global leader across investment banking, wholesale payments, markets and securities services. The world’s most important corporations, governments and institutions entrust us with their business in more than 100 countries. We provide strategic advice, raise capital, manage risk and extend liquidity in markets around the world.",-1,JPMorgan Chase & Co,India,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
Data Scientist,₹7L,"Job Description: Data Scientist
Company: SBSC
Location: Remote
Job Type: Full-time
Experience Level: 3-5 years
Position Overview:
We are seeking a talented Data Scientist with 3-5 years of experience to join our team. The ideal candidate will have a strong background in data analysis, statistical modeling, and machine learning. You will be responsible for analyzing complex data sets to provide actionable insights, building predictive models, and collaborating with cross-functional teams to drive data-driven decision-making.",-1,SBSC,Remote,501 to 1000 Employees,--,Company - Private,Energy & Utilities,"Energy, mining, utilities",Unknown / Non-Applicable
Data Scientist,₹7L,"Company Description

Louis Dreyfus Company is a leading merchant and processor of agricultural goods. Our activities span the entire value chain from farm to fork, across a broad range of business lines, we leverage our global reach and extensive asset network to serve our customers and consumers around the world. Structured as a matrix organization of six geographical regions and ten platforms, Louis Dreyfus Company is active in over 100 countries and employs approximately 17,000 people globally.

Job Description",-1,Louis Dreyfus Company,Bengaluru,10000+ Employees,1851,Subsidiary or Business Segment,Crop Production,Agriculture,$10+ billion (USD)
