Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Associate Data Scientist,,"About the Role
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
Will be responsible for handling new OSS implementation as well as resolving NBI issues.
Ensuring guidelines for the user administration on 400 EMS/NMS instances.
Will be responsible for the proactive health checkup of all NMS/EMS instances.",4.0,Airtel India,India,10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Junior Data Scientist,₹9L – ₹10L/yr (Glassdoor est.),"About the Role:
Grade Level (for internal use): 10
The Role: Junior Data Scientist.

The Team: We are a highly motivated team that provides metrics and insights to internal business partners and senior leadership. Our expertise lies in making siloed data interoperable, enabling seamless access to information across departments. By delivering deeper-level analytics, we empower decision-makers with the insights needed to drive strategic initiatives.

The Impact: Our team plays a crucial role in transforming siloed data into actionable insights. By providing comprehensive analytics, we enable informed decision-making that drives strategic growth and innovation across the organization. Ultimately, our contributions foster a data-driven culture that enhances collaboration and improves overall business performance.




Gurugram, India

About S&P Global Market Intelligence

At S&P Global Market Intelligence, a division of S&P Global we understand the importance of accurate, deep and insightful information. Our team of experts delivers unrivaled insights and leading data and technology solutions, partnering with customers to expand their perspective, operate with confidence, and make decisions with conviction.

For more information, visit www.spglobal.com/marketintelligence .

What’s In It For You?


Progress is not a self-starter. It requires a catalyst to be set in motion. Information, imagination, people, technology–the right combination can unlock possibility and change the world.

Our world is in transition and getting more complex by the day. We push past expected observations and seek out new levels of understanding so that we can help companies, governments and individuals make an impact on tomorrow. At S&P Global we transform data into Essential Intelligence®, pinpointing risks and opening possibilities. We Accelerate Progress.


We're more than 35,000 strong worldwide—so we're able to understand nuances while having a broad perspective. Our team is driven by curiosity and a shared belief that Essential Intelligence can help build a more prosperous future for us all.

From finding new ways to measure sustainability to analyzing energy transition across the supply chain to building workflow solutions that make it easy to tap into insight and apply it. We are changing the way people see things and empowering them to make an impact on the world we live in. We’re committed to a more equitable future and to helping our customers find new, sustainable ways of doing business. We’re constantly seeking new solutions that have progress in mind. Join us and help create the critical insights that truly make a difference.


Integrity, Discovery, Partnership

At S&P Global, we focus on Powering Global Markets. Throughout our history, the world's leading organizations have relied on us for the Essential Intelligence they need to make confident decisions about the road ahead. We start with a foundation of integrity in all we do, bring a spirit of discovery to our work, and collaborate in close partnership with each other and our customers to achieve shared goals.


We take care of you, so you can take care of business. We care about our people. That’s why we provide everything you—and your career—need to thrive at S&P Global.


Health care coverage designed for the mind and body.

Generous time off helps keep you energized for your time on.

Access a wealth of resources to grow your career and learn valuable new skills.

Secure your financial future through competitive pay, retirement planning, a continuing education program with a company-matched student loan contribution, and financial wellness programs.

It’s not just about you. S&P Global has perks for your partners and little ones, too, with some best-in class benefits for families.

From retail discounts to referral incentive awards—small perks can make a big difference.
https://spgbenefits.com/benefit-summaries


At S&P Global, we believe diversity fuels creative insights, equity unlocks opportunity, and inclusion drives growth and innovation – Powering Global Markets. Our commitment centers on our global workforce, ensuring that our people are empowered to bring their whole selves to work. It doesn’t stop there, we strive to better reflect and serve the communities in which we live and work, and advocate for greater opportunity for all.

-----------------------------------------------------------

Equal Opportunity Employer
S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.

The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

----------------------------------------------------------- 20 - Professional (EEO-2 Job Categories-United States of America), ANLYTC202.1 - Middle Professional Tier I (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)

305353
2024-08-30
Gurgaon, Haryana, India",4.1,S&P Global,Gurgaon,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)
Data Analyst,₹3L – ₹5L/yr (Glassdoor est.),"About Innovecture:
Founded in 2007 under the leadership of CEO Shreyas Kamat, Innovecture LLC, began as a U.S.-based Information Technology and Management Consulting Company focusing on technology consulting and services. With international development centers located in Salt Lake City, USA, and Pune, India, Innovecture leverages its
Global Agile Delivery Model to effectively deliver client projects within budget scope and project deadline. The primary focus of Innovecture is to provide a unique wealth of expertise and experience to the IT and Management Consulting realm by utilizing various technologies across multiple industry domains. Innovecture uses best-in-class design processes and top-quality talent to ensure the highest quality deliverables. With innovation embedded in its consulting and services approach, Innovecture will continue to deliver outstanding results for its Fortune 500 clients and employees.",4.6,Innovecture,Pune,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Analyst,₹8L – ₹10L/yr (Employer est.),"About Indicraft Vintage:
Indicraft Vintage is a e-commerce startup company specializing in curated vintage and artisanal products. Our mission is to provide unique, high-quality items that celebrate craftsmanship and history while delivering an exceptional customer experience. As a remote-first company, we are committed to fostering a collaborative and innovative work environment that supports flexibility and work-life balance.
Position Overview:
We are seeking a detail-oriented and proactive Data Analyst to join our remote team. The ideal candidate will have a strong background in data analysis, a passion for uncovering insights from complex datasets, and the ability to translate findings into actionable strategies. As a Data Analyst at Indicraft Vintage, you will work closely with various teams to drive data-informed decisions and support our business growth.",,Indicraft Vintage Private Limited,Remote,,,,,,
Data Scientist,₹5L/yr (Glassdoor est.),"Key Responsibilities
Develops code for moderately difficult software projects. Design and implement bug fixes.
Designs moderately difficult software projects.
Develops software documentation.
Troubleshoots a variety of moderately difficult software problems. Performs software tests on code and enhancements. Defines software specifications.
Interfaces with external customers regarding software issues
Interfaces with internal customers for requirements analysis and schedule.
Compiles data for regularly scheduled or special reports, analysis and statements.
Functional Knowledge
Bachelor's Degree
2 - 4 Years
Full time
Assignee / Regular
Yes, 10% of the Time
Yes",4.0,Applied Materials,Bengaluru,10000+ Employees,1967,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD)
Junior Data Scientist,,"Strong proficiency in programming languages such as Python and R.
Expertise in sentiment analysis, NER, and other natural language processing techniques is a must.
Experience in MLOps, Machine Learning, Statistical Modeling, and Data Visualization.
Excellent leadership, communication, and interpersonal skills.
Number of Openings : 3",4.1,Cravita Technologies India,India,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,₹10T/mo (Employer est.),"About Blackcoffer
Website
Blackcoffer is an enterprise software and analytics consulting firm based in India and the European Union (Malta). It is a data-driven, technology, and decision science firm focused exclusively on big data and analytics, data-driven dashboards, applications development, information management, and consulting of any kind, from any source, on a massive scale. We are a young and global consulting shop helping enterprises and entrepreneurs solve big data and analytics, data-driven dashboards, applications development, and information management problems to minimize risk, explore opportunities for future growth, and increase profits more effectively. We provide intelligence, accelerate innovation, and implement technology with extraordinary breadth and depth of global insights into big data, data-driven dashboards, application development, and information management for organizations by combining unique and specialist services and high-level human expertise.",3.9,Blackcoffer (OPC) Pvt. Ltd,Remote,1 to 50 Employees,--,Unknown,--,--,Unknown / Non-Applicable
Jr Data Analyst | Jr Data Scientist,₹3L/yr (Glassdoor est.),"Skills and Experience (0 - 2):
Graduate with Strong mathematical and statistical skills and understanding
Prefer with some Development and enhancement experience of machine learning and statistical models.
Some experience in working with Python, R, SQL
Some experience in working with libraries in Python
Familiarity with NLP(Natural language processing)
Be flexible and ready to learn
Apply to careers@aibridgeml.com",4.5,AIBridge ML,Hyderābād,1 to 50 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist Trainee,₹3L – ₹5L/yr (Glassdoor est.),"Job description
The Data Scientist role is designed for a highly analytical and technically skilled individual who excels in data-driven environments.
The candidate should possess a strong background in Python programming, database management, and data science methodologies.
The core responsibilities of the role include a range of data science tasks, such as collecting and cleansing data, exploring, and visualizing insights, and applying statistical and mathematical analysis techniques.
Full Time, Permanent
Qualification",3.5,WAHY LAB SOLUTIONS,Cochin,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable
Manager Data Scientist,,"We are seeking a highly skilled and experienced Associate Manager in Data Science to lead our team based in Bangalore. As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering business needs. The ideal candidate will have 4 to 8 years of experience in Data Science, AI/ML, and a solid background in leading teams, interacting with business stakeholders, and delivering production-grade AI/ML projects. Candidate should have solid understanding of mathematical and statistical concepts and well-versed with bias/fairness testing and responsible use of AI/ML. Experience in the US Healthcare domain, knowledge of Big Data and data streaming technologies are is desirable.
Primary Responsibilities:
Lead a team of data scientists, providing mentorship, guidance, and technical expertise
Interact with business stakeholders to understand their AI/ML requirements and translate them into actionable projects
Collaborate with cross-functional teams to define project goals, scope, and deliverables
Utilize your expertise in Python, pandas, numpy, and SQL to develop AI/ML solutions
Apply frameworks such as Scikit Learn, TensorFlow, and PyTorch to build and deploy models
Conduct exploratory data analysis (EDA), statistical analysis, and feature engineering to derive insights
Build, tune, and evaluate machine learning models for predictive and prescriptive analytics
Perform drift analysis and ensure the responsible use of AI/ML by considering bias and fairness testing
Oversee the full life cycle of AI/ML projects, including data preparation, model development, tuning, and deployment
Ensure the scalability, reliability, and efficiency of AI/ML solutions in production environments
Stay updated with the latest advancements in AI/ML techniques and tools, and identify opportunities to apply them to enhance existing solutions
Document and communicate findings, methodologies, and insights to technical and non-technical stakeholders
Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regards to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so
Required Qualifications:
Bachelor's or Master's degree in Computer Science, Data Science, Statistics, or a related field
4+ years of experience in Data Science, AI/ML, or a similar role
Experience in leading a team of data scientists
Hands-on experience in delivering production-grade AI/ML projects
Knowledge of the full life cycle of AI/ML projects, including EDA, model development, tuning, and drift analysis
In-depth understanding & extensive experiencing with Transformers, RAG, Vector DB and Large Language Models
Understanding of bias/fairness testing and responsible use of AI/ML
Proficiency in frameworks such as Scikit Learn, TensorFlow, and PyTorch
Solid programming skills in Python, with experience in pandas, numpy, and SQL
Solid understanding of mathematical and statistical concepts
Proven excellent leadership, problem-solving, and analytical thinking skills
Proven solid communication and collaboration skills to work effectively with business stakeholders and cross-functional teams
Preferred Qualifications:
Experience with Big Data technologies (PySpark, Hadoop) and data streaming tools (Kafka, etc.)
Familiarity with the US Healthcare domain
At UnitedHealth Group, our mission is to help people live healthier lives and make the health system work better for everyone. We believe everyone–of every race, gender, sexuality, age, location and income–deserves the opportunity to live their healthiest life. Today, however, there are still far too many barriers to good health which are disproportionately experienced by people of color, historically marginalized groups and those with lower incomes. We are committed to mitigating our impact on the environment and enabling and delivering equitable care that addresses health disparities and improves health outcomes — an enterprise priority reflected in our mission.
Job Type: Full-time
Application Question(s):
Please mention your current CTC.
Please mention your expected CTC.
Please share your Notice Period.
Please mention your preferred location.
Experience:
Python, with experience in pandas, numpy, and SQL?: 5 years (Required)
Data Science, AI/ML, or a similar role?: 2 years (Required)",,Optum,Bengaluru,,,,,,
"Lead Data Scientist, India - BCG X",₹6L – ₹9L/yr (Glassdoor est.),"Locations: Mumbai | Gurgaon
Who We Are
Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",4.2,Boston Consulting Group,Gurgaon,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)
